,roc_auc,pr_auc
Logistic Regression,0.838928931256297,0.6551799586110606
Random Forest,0.8288989640652045,0.6318026782757401
XGBoost,0.8174881810431682,0.6143488417821753
XGBoost (Tuned),0.833884884652148,0.6356732341591655
