,0
Contract_Month-to-month,0.53780675
InternetService_Fiber optic,0.18571997
InternetService_No,0.026576681
Contract_One year,0.019897824
StreamingMovies_Yes,0.01594165
PaymentMethod_Electronic check,0.013557599
tenure,0.01278567
Contract_Two year,0.012687806
OnlineSecurity_Yes,0.010713446
TotalCharges,0.009715561
TechSupport_Yes,0.009407518
AvgMonthlyCharges,0.009397491
OnlineBackup_Yes,0.009343198
TenureGroup_1-2 years,0.009307209
PhoneService,0.009304004
